Rk,School,G,W,L,W-L%,SRS,SOS,Conf W,Conf L,Home W,Home L,Away W,Away L,Tm Points,Opp Points,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
353,Wichita State,34,15,19,0.441,2.02,3.2,5,13,10,5,2,10,72.8,73.1,40.3,27.5,61.5,0.447,6.47,19.4,0.333,11.3,16.2,0.697,11.6,39.4,12.1,6.26,4.18,12.3,15.4
354,William & Mary,33,10,23,0.303,-11.33,-5.55,4,14,7,7,2,13,69.8,72.1,40.2,23.8,57.9,0.412,8.97,27.8,0.323,13.2,18.8,0.702,10.3,35.2,12.3,4.73,1.7,10.8,17
355,Winthrop,32,17,15,0.531,-1.97,-3.42,8,8,11,5,6,9,77.3,71.5,40.9,25.6,55.1,0.464,7.44,21.8,0.341,18.8,26.8,0.702,10.7,35.4,11.9,6.28,2.78,13,17.8
356,Wisconsin NCAA,36,22,14,0.611,16.01,11.35,11,9,14,3,3,9,74.7,70,40.4,26.4,57.4,0.461,7.11,20.4,0.349,14.7,19.4,0.755,10.1,34,12.7,6.22,1.64,9.94,16.5
357,Wofford,32,17,15,0.531,-3.87,-1.6,10,8,11,2,6,9,74.5,73.8,40.6,27.3,59.5,0.459,9.56,26.6,0.359,10.3,16.6,0.62,10.5,37.2,15.4,4.44,2.69,11.7,16.3
358,Wright State,32,18,14,0.563,-0.22,-3.62,13,7,9,7,7,6,86.5,81.2,40.5,32.3,60.9,0.53,6.81,17.8,0.383,15.1,19.9,0.757,9.06,34.7,16.5,6.25,2.81,11.8,15.6
359,Wyoming,32,15,17,0.469,0.54,4.57,8,10,9,5,3,10,72.8,74.5,40.3,24.7,54.8,0.451,7.53,20.3,0.372,15.9,21.4,0.741,9.59,34.5,11.7,5.16,2.5,12.8,15.6
360,Xavier,34,16,18,0.471,12.23,11.03,9,11,11,7,3,9,75.9,74.6,40,27.1,62.2,0.436,6.82,19.9,0.342,14.7,19.8,0.746,11.8,38.1,16.2,6.94,3.38,11.6,16.8
361,Yale NCAA,33,23,10,0.697,4.63,0.41,11,3,9,2,9,6,74.7,67.5,40.6,27.8,59.7,0.467,7.3,20.8,0.351,11.7,16.5,0.707,9.88,36.5,15,6.18,3.18,9.58,15.1
362,Youngstown State,32,22,10,0.688,0.97,-5.11,14,6,14,3,8,7,81.2,70.9,40.3,29.1,64.5,0.451,8.81,27.3,0.323,14.2,18.4,0.771,12.8,40,15.3,6.19,4.88,11,16.3
